Status,Bar Category,wine_style,Country,Region,Sub_region,3th_region,serial No.,vintage,name_abbr,name_en,name_zh,capacity_mL,alcoholicity,variety,rating,rating_rp,rating_ws,rating_jr,rating_am,info,img_id,image_id,trade_price,real_cost,cellar_price,enoteca_price,mark-up,margin_%,Source,
ON,by_btl,White,France,Bourgogne,Chablis,,2013,2011,Louis Jadot Chablis,Louis Jadot Chablis,路易亚都世家莎布利法定产区干白葡萄酒                              ,750,,Chardonnay/100%,,,,,,"This wine has a very nice golden yellow color. It is lipid, bright and fresh wine, which taste and bouquet develop relatively quickly.
It should be served chilled,good match with oysters, charcuterie and fried fish.
此酒呈悦目的金黄色。是一款丰满,明亮且清新的酒，酒香扑鼻。  需冰镇后饮用。适合搭配生蚝、 拼盘及炸鱼",,Louis_Jadot_chablis_2010.png,¥	292.00,¥	228.00,¥	273.60,¥	570.00,150%,60%,ASC,
ON,by_btl,White,France,Bourgogne,Chablis,,2014,2010,William Fèvre Chablis,William Fèvre Chablis AOC,威廉费尔夏布利白葡萄酒,750,,Chardonnay/100% ,,,,16,,"Pale yellow Very refined bouquet, developing citrus, white-fleshed fruit and floral notes Fresh and supple, the wine is marked by mineral notes that are typical of the appellation
浅黄色
精致的芬芳，有柑桔类、白果的味道
口感新鲜、柔和，充满了典型夏布利的矿物味",,William_Fevre_Chablis.png,¥	359.00,¥	323.00,¥	387.60,¥	810.00,151%,60%,SMG,
ON,by_btl,Red,France,Bordeaux,Bordeaux Rouge,,4001,2010,,Croix de Marsan,十字马尔山红葡萄酒,750,13.00%,"Merlot/60% 
Cabernet Sauvignon/40% ",,,,,,"Deep garnet colour, the nose evokes spicy red fruits. On the palate, the attack is supple, the tanins are round and velvety. Can be kept 5 years",,,¥	83.00,¥	70.00,¥	84.00,¥	275.00,293%,75%,KER,
ON,by_btl,Red,US,Washington State,,,4275,2009,,Columbia Crest Two Vines Cabernet Sauvignon,哥伦比亚山峰双藤加本力苏维翁红葡萄酒                              ,750,,Cabernet Sauvignon/100% ,,,85,,,"The wine presents an intense ruby color with black cherry, blueberry and cocoa aromatics. Similar flavors are perfectly balanced on the palate. It offers lush fruit intensity with a supple, lingering finish.
此酒呈现出红宝石般的浓郁色泽。黑樱桃、蓝莓及可可的芳香四溢，口味十分和谐平衡。果香浓郁，回味柔和，持久。
",,two_vines_caberent_sauvignon_nv.png,¥	93.00,¥	70.00,¥	84.00,¥	273.00,290%,74%,ASC,
ON,by_btl,White,France,Bourgogne,Chablis,Chablis Premier Cru,2015,2010,J P Benoit Droin Chablis 1er Cru Montmains,Jean-Paul et Benoit Droin Chablis 1er Cru Montmains,朵林夏布利一级梦曼白,750,,Chardonnay ,,,,,,"花香味浓郁，拥有典型的胡椒和柠檬味及泥土味，结构感强 矿物质明显，良好的平衡                                                                                       An intensely floral nose reflects notes of white pepper, lemon zest and tidal pool, all of which also characterize the rich, round and generous flavors that maintain good balance and a fine sense of harmony on the solidly persistent finish. This overtly saline effort is really quite pretty.",,Droin_chablis_premier_cru.png,¥	350.00,¥	263.00,¥	315.60,¥	660.00,151%,60%,Watsons,
ON,by_btl,Red,Australia,South Australia,Barossa Valley,,4202,2010,,Peter Lehmann Weighbridge Shiraz,维桥设拉子红葡萄酒                              ,750,,"Semillon 
Sauvignon Blanc",,,,,,"Bright deep red with a purple rim. Lovely plum fruit with leafy notes. Beautifully soft, fruit driven wine showing typical Shiraz richness reined in by the soft tannin finish. 此酒呈明亮的深红色边缘泛紫色光泽。散发着宜人的李子果实和叶子的香气。口感柔和、果味馥郁，展现了设拉子典型的饱满度，余味带有柔和的单宁气息。",,peter_lehmann_weighbridge_shiraz_nv.png,¥	92.00,¥	71.00,¥	85.20,¥	277.00,290%,74%,ASC,
ON,by_btl,Sparkling,France,France Sparkling,,,1027,NV,,"Charles de Fere Brut, Crémant de Bourgogne AOC",迪费天然型起泡酒（布根地AOC）,750,,"Pinot Noir
Chardonnay",,,,,,"Nice gold color with delicate thin bubbles.
Expressive and fruity nose. Typical vanilla flavors brought by wooden cask maturing.
Elegant and powerful mouth. Almonds and butter aromas with a toasted bread touch. Good balance combining acidity and full mouth, which ensures perfect maturing. A gingerbread note is perceptible.
Nice gold color with delicate thin bubbles.
Nose: Expressive and fruity nose. Typical vanilla flavors brought by wooden cask maturing.
Palate: Elegant and powerful mouth. Almonds and butter aromas with a toasted bread touch. Good balance combining acidity and full mouth, which ensures perfect maturing. A gingerbread note is perceptible.
美好的金色中带有细腻精致的气泡。
充满水果香味，富有表现力，并因在木桶中成熟而具有典型的香草气息。
充满杏仁、黄油和烤面包的味道，并略带姜饼味。其酒体优雅、强劲，酸度均衡，口感饱满，成熟完美
",,Jean-Louis_blanc_de_blancs_charles_de_fere_brut_nv.png,¥	79.00,¥	71.10,¥	85.32,¥	278.00,291%,74%,SMG,
ON,by_btl,White,France,Bourgogne,Chablis,,2016,2009,J P Benoit Droin Chablis Grand Cru La Clos,Jean-Paul et Benoit Droin Chablis Grand Cru La Clos,朵林庄园夏布利-克龙特级园白葡萄酒,750,,,,,,,,,,,¥	820.00,¥	570.00,¥	684.00,"¥	1,680.00",195%,66%,KER,
ON,by_btl,Red,Australia,South Australia,Limestone Coast,Coonawarra,4228,2006,,Beelgara Regional Reserve Coonawarra Cabernet Sauvignon,贝加拉库纳瓦拉加本内红葡萄酒（珍藏版）,750,14.00%,Cabernet Sauvignon,,,,,,"富有浓郁的莓子与香料的香气，口感典雅而复杂，单宁精致而回味悠远。
This wine has intense aromas of berry fruit and spices. The palate is both elegant and complex with mouth filling flavors berry fruit. The wine is stylish with great length of flavor and fine tannins on the finish.",,beelgara_coonawarra_cabernet_sauvignon.png,¥	148.00,¥	72.00,¥	86.40,¥	280.00,289%,74%,Tohzen,
ON,by_btl,Red,Australia,South Australia,Mount Lofty Ranges,Clare Valley,4231,2007,,Beelgara Regional Reserve Shiraz Clare Valley,贝加拉克莱山谷设拉子红葡萄酒（珍藏版）,750,14.00%,Shiraz,,,,,,"富有莓子、肉桂、丁香的芬芳，口感优雅而复杂，综合了辛辣、李子和黑莓的香气。
This wine has intense aromas of berry fruit, cinnamon and clove spice. The palate is both elgant and complex with spicy plum and blackberry fruit flavors.",,beelgara_clare_valley_shiraz.png,¥	148.00,¥	72.00,¥	86.40,¥	280.00,289%,74%,Tohzen,
ON,by_btl,White,France,Bourgogne,Côte de Beaune,St-Aubin,2017,2010,Roux P & F Saint Aubin La Pucelle,Roux Père & Fils Saint Aubin “La Pucelle”,胡氏父子圣欧班白葡萄酒,750,13.0%, Chardonnay,,,,,,"Color: Bright yellow.
Nose: It combines aromas of white flowers, flint, green almond, and orange-flower.
Palate: This is a firm and flattering wine - it becomes fleshier and fuller with time. This is a wine with real breeding.
色泽：明亮的金黄色。
香气：香气浓郁且复杂，含有花香，燧石，杏仁的味道。
口感：入口坚实又平滑，随着陈年的发展，变得更加饱满圆润。具有很强的陈年能力！",,2004_roux_saint_aubin.png,¥	310.00,¥	270.00,¥	324.00,¥	680.00,152%,60%,EMW,
ON,by_btl,Red,France,Bourgogne,Bourgnone Rouge,,4039,2009,,Cave de Lugny Bourgogne Pinot Noir,吕尼酒窖勃艮第黑皮诺红葡萄酒,750,12.50%,Pinot Noir/100% ,,,,,,"外观：清透，呈宝石红并泛有光泽;酒香：散发淡淡的红果和黑果混合香气和香料味;口感：酒体浓厚度中等，带有红果和甘草味道，清新宜人。
VISUAL:clear and shiny ruby red
NOSE: subtle aromas of red and black fruits (raspberry and blackcurrant) with notes of spices
PALATE:medium-body, with notes of red fruits and liquorice, with a fresh finish",,cave_de_lugny_bourgogne_pinot_noir.png,¥	118.00,¥	75.00,¥	90.00,¥	290.00,287%,74%,Tohzen,
ON,by_btl,Red,Italy,Tuscana,Chianti,,4135,2011,,Ruffino Chianti DOCG,鲁芬诺基昂蒂优质法定产区干红葡萄酒                              ,750,,"
Sangiovese/90%
canaiolo/10% 
",,,,,,"Clear, brilliant ruby red. Intriguing aroma of violets, typical of the Chianti style. Dry and medium-bodied, with wonderful cherry fruit flavor, refreshing acidity and medium tannins. The overall impression is a well-balanced, harmonious wine, which is complex but not imposing.
Pasta dishes, chicken, veal, medium-strength cheeses. 
此酒属于柔和，淡雅怡人的类型。具有透明的红宝石色泽，典型的基昂蒂酒诱人的紫罗兰芳香。酒体适中，入口甘醇。具有樱桃果风味，酸度爽口，单宁适中。酒体均衡和谐，多变朴实。饮后难以忘怀。
适与多种意粉、家禽、小牛肉及口味适中的奶酪相搭配。
",,ruffino_chianti.png,¥	102.00,¥	75.00,¥	90.00,¥	270.00,260%,72%,ASC,
ON,by_btl,Sparkling,Italy,Prosecco,,,1039,NV,,Carpene Malvolti Treviso Extra Dry Prosecco DOC ,卡玛酒园特拉维索起泡葡萄酒                              ,750,,prosecco/100% ,,,,,,"Colour: pale straw yellow with greenish nuances.
Bouquet: very fine and fruity.
Taste: fresh delicate and pleasant.
Perlage: fine and continuous, typically lively and elegant. 
 灰白的稻黄色带有一丝绿色。
良好的水果气味。清爽宜人，余味悠长高雅并伴有热带水果的气味。
",,Carpene_malvolti_prosecco.png,¥	97.00,¥	76.00,¥	91.20,¥	278.00,266%,73%,ASC,
ON,by_btl,White,France,Bourgogne,Côte de Beaune,Meursault,2018,2005,Rene Monnier Les Chevaliers Meursault Blanc,Rene Monnier Les Chevaliers Meursault Blanc ,林内莫涅庄园切弗莫索,750,,Chardonnay ,,,,,,"莫索特“Les Chevalieres”共有2.5公顷分成5到7块田，每块田单独处理，采用经典的酿造方法和护理，这是公司和优雅的举起酒杯。口感优雅迷人，具有桃子和菠萝口味,混合着葡萄皮的香味。                                                Meursault “Les Chevalières” comes from 2.5 hectares divided into 5 to 7 blocks, all treated separately. This mellow wine is firm and elegant. It has a feminine bouquet of peach and pineapple notes, mixed with grape skin aromas.",,Rene_Monnier_Les Chevalieres_Meursault_Blanc.png,¥	630.00,¥	473.00,¥	567.60,"¥	1,190.00",152%,60%,Watsons,
ON,by_btl,White,France,Bourgogne,Côte de Beaune,Chassagne-Montrachet,2019,2010,Vincent Morey Chassagne-Montrachet V.V.,Vincent Morey Chassagne-Montrachet V.V.,文森莫利雪桑蒙勒舍白葡萄酒,750,,Chardonnay ,,,,,,"散发着水果的芳香，还伴有动物、腐殖土和矮树丛的气息，口感圆润，酸度适宜，具有陈年的潜力                        The fruit aromas,and green bushestaste mellow, acidity is appropriate, has the potential of old
",,Vincent_Morey_Chassagne_Montrachet.png,¥	550.00,¥	385.00,¥	462.00,¥	970.00,152%,60%,Watsons,
ON,by_btl,Red,US,California,,,4253,2008,,Dancing Bull Zinfandel,悦牛金粉黛红葡萄酒,750,13.95%,"Zinfandel/80.7%
Syrah/5.3%
Petit Syrah/4.5%
Tempranillo Zinfandel/3.5%",,,,,,"这款葡萄酒极易入口，带有丰富的成熟黑莓和黑樱桃等黑色水果香味及树莓和草莓等鲜红水果的味道。黑椒和香草辛香调带来更多层次的口感，令果味更加突出。具鲜活的水果香味、软滑口感和浓烈酒质，可佐以从烤肉到香浓的意大利面食酱等任何口味浓郁的菜肴。
The wine is immediately approachable with lots of ripe dark fruit flavors of blackberry and black cherry complemented by bright red fruit flavors of raspberryand strawberry. Spicy notes of black pepper and vanilla add layers which allow the fruits to be the star. With its bright, vibrant fruit flavors, soft mouth feel andzesty personality, this wine can go with just about any dish from barbequed meats to rich pasta sauces.",,dancing_bull_california_zinfandel.png,¥	112.00,¥	76.00,¥	91.20,¥	278.00,266%,73%,Tohzen,
