Status,Bar Category,wine_style,Country,Region,Sub_region,3th_region,serial No.,vintage,name_en,name_zh,capacity_mL,alcoholicity,variety,rating,rating_rp,rating_ws,rating_jr,rating_am,info,image_id,enoteca_price,Source,trade_price,real_cost,,cellar_price,年份,期初存货,购入数量汇总,销售量汇总by bottle,销售数量汇总by glass,销售数量汇总tasting flights,内部调货数量汇总-兕维,损耗数量汇总,库存数量,实盘数量,存储位置,送货单单价,供应商供货总价,内部调货金额汇总兕维,销售成本,存货,AL+AM,Total real_cost,Total enoteca_price,销售单价  by bottle,销售单价 by glass,销售单价tasting flights,损耗金额汇总表,销售额汇总表,备注,购货价比对,库存比对,,盘存状态,
ON,by_btl,Sparkling,France,Champagne,,,1011,2005,Lious roederer Cristal,路易王妃水晶珍藏香槟,750,12.00%,"Pinot Noir/55%
Chardonnay/45%",,,94,17.5,,"王妃水晶香槟是细致丰腴、和谐的葡萄酒:丰富且具优秀的陈年潜力。明亮的黄色，呈现出与淡琥珀色的细微差别，及精细和持续柔和的冒泡，给人一种极深刻的花香味。白果、甜美花粉、柑橘、极纯的矿物味，散发芳香的优雅、霞多丽的精致。
Cristal is a precise, harmonious wine: rich and powerful with superb aging potential.Brilliant yellow color displaying light amber nuances, combined with an ultra-fine, persistent, soft effervescence. There’s an intense, highly expressive bouquet on the first nose! The aromatic elegance and precision of Chardonnay is apparent: white fruit, sweet pollen, fine citrus fruit and very pure minerality.",Cristal_louis_roederer_2004.png,"¥3,800.00",LKS,"¥2,920.00","¥1,980.00",,"¥2,475.00",2005,0,11,3,0,0,0,0,8,,"己2，冰箱1,p6,q6",1980,21000,0,5940,15060,21000,"¥18,660","¥11,400",15200,0,0,0,11400,SM 1瓶1200,F,F,T,Y,
ON,by_btl,Sparkling,France,Champagne,,,1012,NV,Gosset Grand Blanc De Blancs Brut,哥塞香槟白中白,750,,Chardonnay ,,,,,,"柔和的淡黄色泽，气泡细腻，浓郁的李子，桃子和干果的香气，口感丰富，饱满和圆润。该佳酿展现了清新优雅并结合了微妙的特质。                        Pale yellow in colour, light, fizzing with thousands of bubbles. An open and expressive nose, with rich flavours of plum, ripe apricots or peaches or even dried fruit. From the first sip the palate is rich, rounded and powerful. It shows a lovely development with a soft freshness combined with a light salty tang.

",Gosset_Grand_Blanc_de_Blancs.png,"¥1,580.00",Watsons,¥860.68,¥698.00,,¥872.50,,0,3,0,0,0,0,0,3,,P14,698,2094,0,0,2094,2094,"¥2,094",¥0,0,0,0,0,0,,T,F,T,Y,
ON,by_btl,Sparkling Rosé,France,Champagne,,,1013,2002,"Comtes de Champagne Blanc de Blancs, Taittinger",泰亭哲伯爵白中白绝干香槟,750,12.00%,Chardonnay/100%,,98,94,18,,"花香浓郁突出、精妙复杂。开始散发出山楂和蜂蜡的气息，随即迸发出清淡的鲜橙和凤梨的气味。口感生动活泼，悠长的余味中充满了柠檬和典雅的花香。总体来说，这是一款精妙、典雅、复杂、华美的香槟酒。这是一款用来庆祝特殊、激动时刻的绝好香槟酒。也是烤鱼的绝配。                                                                Very pale yellow. The bubbles, extremely fine and light, form a sublime, active and unending ribbon of mousse. Intense, expressive, particularly subtle and complex. It starts out with floral aromas of hawthorn and beeswax giving way to discreet notes of lime and fresh pineapple. Very lively and persistent to the finish, with mainly lemony flavours together with very delicate aromas of dried flowers and lime blossoms.This is a wine to be enjoyed at celebrations to highlight special, rare and intense moments. It is also a perfect accompaniment to grilled fish.
",,"¥2,300.00",Torres,"¥1,550.00","¥1,085.00",,"¥1,356.25",,0,2,0,0,0,0,0,2,,P1,1085,2170,0,0,2170,2170,"¥2,170",¥0,0,0,0,0,0,,T,F,T,Y,
ON,by_btl,Sparkling,France,Champagne,,,1014,2004,Perrier Joët Belle Époque,巴黎之花美丽时光香槟,750,,Chardonnay/100%,,,,,,"玛姆克拉芒白中白香槟，是玛姆香槟所珍视的一个历史悠久的传统，首次上市于1892年。
最初，这款香槟专门为其尊贵客人订制并亲手递送，瓶身设计只是按19世纪习俗、附上一张G.H.MUMM折角名片。现今的瓶贴仍然沿袭了名片标签的独特传统。
品质轻盈优雅，浅酌一口，新鲜的青柠、柠檬以及柚子的味道令唇齿留香，恰与消解在口中的丰富汽泡奇妙融合，曼妙滋味萦绕心间。",,"¥2,500.00",PRC,"¥1,544.00","¥1,377.00",,"¥1,721.25",,0,2,0,0,0,0,0,2,,P1,1377,2367,0,0,2367,2367,"¥1,206",¥0,0,0,0,0,0,SM 1瓶990,F,F,T,Y,
ON,by_btl,Sparkling,France,Champagne,,,1015,2003,Dom Perignon,唐培里侬香槟（香槟王）,750,12.50%,"Chardonnay
Pinot noir ",,,,,,"On the nose:
The first hints of fresh almond and harvest aromas immediately open up into preserved lemon and dried fruits, the whole rounded off by darker smoky and toasted qualities.
On the palate:
The presence of the wine on the palate is immediately captivating. Paradoxically concentrated yet creamy, it is energetic and warm in the mouth, focusing on the fruit, then gradually taking on more profound bass notes. The whole holds its note perfectly, intensively, with just a subtle, elegant hint of underlying bitterness.
香味：最初能闻到新鲜杏仁和麦收时节的芬芳气味，随即是柠檬和干果的清香，综合着烟熏和烤面包的浓香。
口感：入口即刻就感觉醇香四溢，既醇厚又轻盈，散发出稠密的果味，紧接着变得丰盈芳醇。整体呈现完美并略微带有轻柔独特的矿物质感。
",Dom_Perignon_2002.png,"¥2,700.00",MHD,"¥1,310.00",¥991.00,,"¥1,238.75",2002,0,3,0,0,0,0,0,3,,P1,991,3182,0,0,3182,3182,"¥2,973",¥0,0,0,0,0,0,SM,F,F,T,Y,
OFF,by_btl,Sparkling,France,Champagne,,,1016,2000,"Femme de Champagne, Duval Leroy",杜洛儿香妃香槟,750,12.00%,"Chardonnay
Pinot Noir",,,91,,,"This Champagne heightens all the senses: its refined elegance lets out a breath of flowery flavours with hints of lime blossom honey, brioche and hazelnuts; its personality expresses a deep intensity. Its velvety mousses fits perfectly with the whole taste balance.",2000_duval_leroy_femme_de_champagne.png,"¥2,900.00",EMW,,,,¥0.00,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,¥0,0,0,0,0,0,,T,T,T,Y,
ON,by_btl,Sparkling,France,Champagne,,,1017,1998,"Cuvée Sir Winston Churchill, Pol Roger",宝禄爵丘吉尔爵士特酿香槟,750,,"Pinot Noir
Chardonnay",,,93,18,,"Brilliant citrine yellow infused with deeper gold, crowned by a delicate mousse of   tiny bubbles, suggests both youth and concentration. 
Opens with notes of the forest floor and leafy scents of moss and field mushrooms. As the wine warms up, the nose reveals fresher, acidic notes of citrus fruits and mint. And then a further range of scents: suave, vegetal notes of acacia, hawthorn, noisette and hazelnut. A champagne evocative of autumn!
Fine balance between a fresh acidity and the assertive young tannins. Robust and fine at the same time. The structure is compact and muscular with a solid mouthfeel. Elegant length on the finish. 
明亮的柑橘黄色，夹带着深金色，伴有细致如慕丝般的气泡，显示出其年轻与集中   的口感
开始有森林植被和苔藓、蘑菇的气息。随着葡萄酒温度的上升，气味开始显得更为新鲜，有柑橘的酸度和薄荷的气息显现。接着是一系列其他香味：金合欢、山楂、蔷薇与榛子。一款唤起秋天记忆的香槟！
在新鲜的酸度与直接的年轻单宁直接有着非常好的平衡。丰富、美好。结构紧凑，口感坚实。余味优雅绵长 

",Pol_Roger_SWC_1998.png,"¥3,600.00",SMG,"¥2,100.00","¥1,785.00",,"¥2,231.25",1999,0,1,0,0,0,0,0,1,,己2，冰箱1,1785,1785,0,0,1785,1785,"¥1,785",¥0,0,0,0,0,0,,T,F,T,Y,
ON,by_btl,Sparkling,France,Champagne,,,1018,1998,Krug Vintage,库克年份香槟,750,,,,,,,,,,"¥4,380.00",MHD,,"¥1,412.00",,"¥1,765.00",,0,0,0,0,0,0,0,0,,,1412,0,0,0,0,0,¥0,¥0,0,0,0,0,0,,T,T,T,Y,
ON,by_btl,Sparkling,France,Champagne,,,1019,1999,Salon Blanc de Blancs,沙龙白中白年份香槟,750,,Chardonnay/100%,,94+,,,,"The 1999 Brut Blanc de Blancs is impenetrable. This is a massive, full-bodied Salon that totally saturates the palate with fruit. Neither as austere or pointed as the 1996, nor as open as the 1997, instead the 1999 comes across as big, rich and powerful. There is little in the way of flavor or aromatic development, and it may be some time before any real complexity develops in bottle. Today it looks like the wine’s best days are well off into the future. Anticipated maturity: 2019-2039. -Wine Advocate",,"¥5,800.00",SM,,"¥2,000.00",,"¥2,500.00",1999,0,3,0,0,0,2,0,1,,P1,2000,6000,4000,0,6000,6000,"¥6,000",¥0,0,0,0,0,0,,T,F,T,Y,
ON,by_btl,Sparkling Rosé,France,Champagne,,,1020,NV,Moët & Chandon Rosé,酩悅玫瑰香檳,750,12.50%," Pinot Noir/40-50%
 Pinot Meunier/30-40%
 Chardonnay/10-20%",,,,,,"Rosé Impérial is a spontaneous and radiant champagne that tempts into seduction. A glamorous expression of the Moët & Chandon style. A style that distinguishes itself by its bright fruitiness, its seductive palate and its elegant maturity.                                                                                                                                                        酩悦粉红香槟拥有自然绚目的光彩，流露出的粉红魅惑让人无法抗拒，诠释着酩悦的无穷魅力。欢欣明快的果香，鲜活诱人的口感，彰显酩悦粉红香槟优雅成熟、卓然不凡的气质。",Moet_et_Chandon_Rose_Imperial_Brut_NV.png,¥980.00,MHD,¥460.00,¥430.00,,¥537.50,,0,5,2,0,0,0,0,3,,冰箱1,430,2150,0,860,1290,2150,"¥2,150","¥1,960",3920,0,0,0,1960,,T,F,T,Y,
ON,by_btl,Sparkling Rosé,France,Champagne,,,1021,N/V,Taittinger Prestige Rosé Brut,泰亭哲高级桃红绝干香槟 ,750,,"Chardonnay
Pinot Noir & Pinot Meunier",,91,92,,,"这款香槟酒为亮粉色，气泡细腻持久。酒香浓郁，新鲜、活泼。散发着红色水果的香气（犹如鲜榨野覆盆子、樱桃、黑醋栗等果汁的清香）。天鹅绒般的细致同新鲜水果的味道完美均衡的合为一体。总体上讲这是一款结构均衡、朝气蓬勃的香槟酒。可作为晚餐用酒。同水果甜品（如水果挞、水果沙拉等）搭配饮用口味最佳。 Brilliant pink, is shimmering and intense. The bubbles are fine and the mousse persistent.Satisfyingly intense, is both fresh and young. It gives off aromas of red fruit (freshly crushed wild raspberry, cherry and blackcurrant).This is a velvety wine of fine balance, and body a subtle wine with flavours of fresh fruit.In all, a very pleasing wine of balance and youth.  A wine for both early and late evening.A delicious accompaniment to fruit desserts (fruit tart, fruit salad).",,"¥1,030.00",Torres,¥586.00,¥410.00,,¥512.50,,0,2,1,0,0,0,0,1,,冰箱1,410,820,0,410,410,820,¥820,"¥1,030",4120,0,0,0,1030,,T,F,T,Y,
ON,by_btl,Sparkling Rosé,France,Champagne,,,1022,NV,Veuve Clicquot Rosé,凯歌皇牌粉红香槟,750,,,,,,,,,,"¥1,180.00",MHD,¥540.00,¥309.00,,¥386.25,,0,0,0,0,0,0,0,0,,冰箱1,309,0,0,0,0,0,¥0,¥0,0,0,0,0,0,SM,T,T,T,Y,
ON,by_btl,Sparkling Rosé,France,Champagne,,,1023,NV,Laurent-Perrier Rosé,罗兰百悦特酿桃红香槟      ,750,,Pinot Noir/100%,,,,,,"ASPECT
Elegant, with colour changing naturally from a pretty raspberry hint to salmon-pink.
AROMA
Precise and very crisp. Wide range of small red fruits: strawberries, redcurrants, raspberries and black cherries. Its amazing freshness is the dominating note.
TASTE
Intensely fruity flavours, clean, well-defined and slightly sharp, the wine then opens up to provide an impression of plunging into a basket of freshly picked red berries: strawberries, Morello cherries, blackcurrants and raspberries. The wine is supple and rounded on the finish.
外观 - 呈现明亮集中的金黄色；                        
香气 - 香气丰富有感染力，以杏仁、榛子等干果的香味为第一层、紧接着表现出焙烤的香味。经过长时间的品鉴与此款香槟的交流，便能逐步体会到香味中蜂蜜和松树脂的基调。                 
口感 - 充实且大方的口感，一款给人丰富体验的精美香槟",champagne_laurent_perrier_rose_nv.png,"¥1,240.00",ASC,¥790.00,¥617.00,,¥771.25,,0,4,1,0,0,0,0,3,,冰箱1,617,2468,0,617,1851,2468,"¥2,468","¥1,240",2480,0,0,0,1240,,T,F,T,Y,
ON,by_btl,Sparkling Rosé,France,Champagne,,,1024,NV,Bollinger Rosé,堡林爵桃红香槟,750,,,,,,,,,,"¥1,328.00",JBS,,¥662.00,,¥827.50,NV,0,2,1,0,0,0,0,1,,冰箱1,662,1324,0,662,662,1324,"¥1,324","¥1,328",5312,0,0,0,1328,,T,F,T,Y,
ON,by_btl,Sparkling Rosé,France,Champagne,,,1025,2007,Champagne Louis Roederer Brut Vintage Rosé,路易王妃珍藏玫瑰香槟,750,,,,,,,,"王妃水晶香槟是细致丰腴、和谐的葡萄酒:丰富且具优秀的陈年潜力。明亮的黄色，呈现出与淡琥珀色的细微差别，及精细和持续柔和的冒泡，给人一种极深刻的花香味。白果、甜美花粉、柑橘、极纯的矿物味，散发芳香的优雅、霞多丽的精致。
Cristal is a precise, harmonious wine: rich and powerful with superb aging potential.Brilliant yellow color displaying light amber nuances, combined with an ultra-fine, persistent, soft effervescence. There’s an intense, highly expressive bouquet on the first nose! The aromatic elegance and precision of Chardonnay is apparent: white fruit, sweet pollen, fine citrus fruit and very pure minerality.",Cristal_louis_roederer_2004.png,"¥1,880.00",LKS,,¥625.00,,¥781.25,,0,3,1,0,0,0,0,2,,冰箱1,625,1875,0,625,1250,1875,"¥1,875","¥1,180",7520,0,0,0,1880,,T,F,T,Y,
ON,by_btl,Sparkling Rosé,France,Champagne,,,1026,2000,Dom Perignon Rosé,唐培里侬粉红香槟,750,12.50%,,,,,,,"On the nose:
The first hints of fresh almond and harvest aromas immediately open up into preserved lemon and dried fruits, the whole rounded off by darker smoky and toasted qualities.
On the palate:
The presence of the wine on the palate is immediately captivating. Paradoxically concentrated yet creamy, it is energetic and warm in the mouth, focusing on the fruit, then gradually taking on more profound bass notes. The whole holds its note perfectly, intensively, with just a subtle, elegant hint of underlying bitterness.
香味：最初能闻到新鲜杏仁和麦收时节的芬芳气味，随即是柠檬和干果的清香，综合着烟熏和烤面包的浓香。
口感：入口即刻就感觉醇香四溢，既醇厚又轻盈，散发出稠密的果味，紧接着变得丰盈芳醇。整体呈现完美并略微带有轻柔独特的矿物质感。
",Dom_Perignon_2002.png,"¥4,680.00",MHD,,"¥2,480.00",,"¥3,100.00",,0,2,0,0,0,0,0,2,,己1,2480,4960,0,0,4960,4960,"¥4,960",¥0,0,0,0,0,0,,T,F,T,Y,
ON,by_btl,Sparkling,France,France Sparkling,,,1027,NV,"Charles de Fere Brut, Crémant de Bourgogne AOC",迪费天然型起泡酒（布根地AOC）,750,,"Pinot Noir
Chardonnay",,,,,,"Nice gold color with delicate thin bubbles.
Expressive and fruity nose. Typical vanilla flavors brought by wooden cask maturing.
Elegant and powerful mouth. Almonds and butter aromas with a toasted bread touch. Good balance combining acidity and full mouth, which ensures perfect maturing. A gingerbread note is perceptible.
Nice gold color with delicate thin bubbles.
Nose: Expressive and fruity nose. Typical vanilla flavors brought by wooden cask maturing.
Palate: Elegant and powerful mouth. Almonds and butter aromas with a toasted bread touch. Good balance combining acidity and full mouth, which ensures perfect maturing. A gingerbread note is perceptible.
美好的金色中带有细腻精致的气泡。
充满水果香味，富有表现力，并因在木桶中成熟而具有典型的香草气息。
充满杏仁、黄油和烤面包的味道，并略带姜饼味。其酒体优雅、强劲，酸度均衡，口感饱满，成熟完美
",Jean-Louis_blanc_de_blancs_charles_de_fere_brut_nv.png,¥278.00,SMG,¥79.00,¥71.10,,¥88.88,NV,0,2,1,0,0,0,0,1,,冰箱1,71.1,142.2,0,71.1,71.1,142.2,¥142.20,¥278,556,0,0,0,278,,T,F,T,Y,
ON,by_btl,Sparkling,France,Loire,Loire Sparkling,,1028,NV,Pierre Chainier Seduction Brut,谢尼酒庄干型起泡酒,750,11.00%,"Chenin Blanc
Ugni Blanc
Folle Blanche",,,,,,"Pale yellow color with hints of green. Numerous and fine bubbles. Fresh and delicate on the nose, with nice fruit aromas. An elegant wine, wellbalanced and pleasant.",pierre_chainier_seduction_brut.png,¥258.00,EMW,¥78.00,¥65.00,,¥81.25,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,¥0,0,0,0,0,0,,T,T,T,Y,
OFF,by_btl,Sparkling,France,Limoux,,,1029,NV,"Jean Babou Réserve l’Exception Brut, Blanquette de Limoux, AOC",保罗天然型起泡葡萄酒 ,750,12.00%,"Mauzac/90% 
Chardonnay/5% 
Chenin/5%",,90,,,,"Color：Pale yellow with green hint. Long-lasting bubble.
Nose: White flower and peach pear followed by toast and fresh butter flavour.
Palate:Clear and lively attack,smooth sensation.Then a fruity and butter overtake the palate.lingering.",jean.babou_limoux.png,¥290.00,EMW,¥98.00,¥82.00,,¥102.50,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,¥0,0,0,0,0,0,,T,T,T,Y,
ON,by_btl,Sparkling,France,France Sparkling,,,1030,NV,"Duc de Paris Brut, Compagnie Française des Grands Vins",巴黎公爵起泡葡萄酒                              ,750,,Ugni blanc/100%,,,,,,"Fresh and acidulous wine with a fine scent of white flower, grape and brioche. Lovely on the palate and sufficient persistency. Enjoy as an aperitif or at any time. 
口感鲜爽，略带酸味，十分怡人。散发着一丝精致的白花、葡萄与奶油蛋糕的芬芳。口味浓郁而持久。可作为理想的餐前酒，同时适合任何场合饮用。",duc_de_paris_vin_mousseux.png,¥198.00,ASC,¥57.00,¥44.00,,¥55.00,,0,3,0,0,0,0,0,3,,冰箱1,44,132,0,0,132,132,¥132,¥0,0,0,0,0,0,,T,F,T,Y,
